,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'BFMTV'}",,Etats-Unis: la poste prévient qu'il y aura des retards sur les votes par correspondance,"Le président Donald Trump a lancé une campagne de dénigrement contre le vote par correspondance, dont il craint qu'il ne favorise son opposant démocrate Joe Biden.",https://www.bfmtv.com/international/etats-unis-la-poste-previent-qu-il-y-aura-des-retards-sur-les-votes-par-correspondance_AD-202008150076.html,https://images.bfmtv.com/-p2LZeuOfPG9bdqA07jU8DsnMlo=/0x40:768x472/768x0/images/Une-agente-electorale-depouille-des-bulletins-de-vote-recus-par-courrier-pour-la-primaire-democrate-du-4-aout-2020-dans-lEtat-americain-de-Washington-381985.jpg,2020-08-15T15:01:13Z,"Le président Donald Trump a lancé une campagne de dénigrement contre le vote par correspondance, dont il craint qu'il ne favorise son opposant démocrate Joe Biden.
La poste américaine a envoyé des l… [+2203 chars]"
1,"{'id': None, 'name': 'Francetvinfo.fr'}",,Etats-Unis : la poste américaine prévient qu'il y aura des retards sur les votes par correspondance,"Un nombre sans précédent de votes par correspondance est attendu pour l'élection présidentielle du 3 novembre, en raison notamment de la pandémie de coronavirus.",https://www.francetvinfo.fr/monde/usa/presidentielle/etats-unis-la-poste-americaine-previent-qu-il-y-aura-des-retards-sur-les-votes-par-correspondance_4075967.html,https://www.francetvinfo.fr/image/75s4jpi6k-b8a6/1500/843/21998735.jpg,2020-08-15T14:56:17Z,"Un nombre sans précédent de votes par correspondance est attendu pour l'élection présidentielle du 3 novembre, en raison notamment de la pandémie de coronavirus.Attention, retard à prévoir. La poste … [+2278 chars]"
2,"{'id': None, 'name': 'Daily Mail'}",By Karen Ruiz For Dailymail.com,Trump says election will be a 'fraudulent mess' as UPS and FedEx warn they can't carry ballots,Trump continued to cast doubt on the mail-in voting process on Twitter on Saturday as he responded to reports of fraudulent ballots that were uncovered during a local election in New Jersey.,https://www.dailymail.co.uk/news/article-8630639/Trump-says-election-fraudulent-mess-UPS-FedEx-warn-carry-ballots.html,https://i.dailymail.co.uk/1s/2020/08/15/15/31983844-0-image-a-16_1597502944128.jpg,2020-08-15T14:49:40Z,"President Trump said the 2020 presidential election will be a 'fraudulent mess' and Americans 'will maybe never know who won' if they are forced to submit their votes through the mail. 
Trump contin… [+4794 chars]"
3,"{'id': None, 'name': 'ProPublica'}",Derek Willis,@caroltx26 -- Deleted after 7 minutes 1 minute ago,RT @JoyceWhiteVance: The USPS issue didn't just crop up. It's been apparent since April that Trump was attacking the Post Office. What's ne…,https://projects.propublica.org/politwoops/tweet/1294645365820608512,,2020-08-15T14:48:29Z,RT @JoyceWhiteVance: The USPS issue didn't just crop up. It's been apparent since April that Trump was attacking the Post Office. What's ne QT @JoyceWhiteVance: Weve reached the point in season 4 whe… [+104 chars]
4,"{'id': None, 'name': 'The Week Magazine'}",Tim O'Donnell,Critics blame Trump administration for 'embarrassing' Iran embargo defeat,"After the United Nations Security Council on Friday resoundingly defeated U.S. efforts to extend a global arms embargo on Iran, Tehran basked in the outcome, while U.S. lawmakers and analysts viewed the result as an indictment of the Trump administration's fo…",https://theweek.com/speedreads/931523/critics-blame-trump-administration-embarrassing-iran-embargo-defeat,https://images.theweek.com/sites/default/files/styles/tw_image_6_4/public/gettyimages-1228039692.jpg?itok=TudZLIhm,2020-08-15T14:47:00Z,"Former President Barack Obama isn't happy with all the changes afoot at the United States Postal Service.
In an interview on Friday, Obama urged lawmakers to fight against what he called President T… [+1419 chars]"
5,"{'id': None, 'name': 'The Week Magazine'}",Tim O'Donnell,Critics say Trump administration has no one to blame but itself for 'embarrassing' Iran embargo defeat,"After the United Nations Security Council on Friday resoundingly defeated U.S. efforts to extend a global arms embargo on Iran, Tehran basked in the outcome, while U.S. lawmakers and analysts viewed the result as an indictment of the Trump administration's fo…",https://theweek.com/speedreads/931523/critics-say-trump-administration-no-blame-but-itself-embarrassing-iran-embargo-defeat,https://images.theweek.com/sites/default/files/styles/tw_image_6_4/public/gettyimages-1228039692.jpg?itok=TudZLIhm,2020-08-15T14:47:00Z,"Former President Barack Obama isn't happy with all the changes afoot at the United States Postal Service.
In an interview on Friday, Obama urged lawmakers to fight against what he called President T… [+1419 chars]"
6,"{'id': 'business-insider', 'name': 'Business Insider'}",Connor Perrett,Protesters gather outside of US postmaster general's home and stage a 'noise demonstration' over his cuts to USPS,"<ul>
<li>Protesters on Saturday gathered outside the Washington, DC home of Postmaster General Louis DeJoy and marched through his neighborhood to slam his handling of the postal service.</li>
<li>DeJoy, a former Republican donor, has made cost-cutting measur…",https://www.businessinsider.com/protesters-gather-outside-the-home-of-postmaster-general-louis-dejoy-2020-8,https://i.insider.com/5f37e747e89ebf001f044ff1?width=1200&format=jpeg,2020-08-15T14:32:47Z,"Protesters on Saturday gathered outside the Washington, DC, home of Postmaster General Louis DeJoy over claims his cost-cutting measures are slowing down mail delivery and could adversely impact mail… [+2756 chars]"
7,"{'id': None, 'name': 'Towleroad'}",Andy Towle,"USPS Says it Will Stop Removing Mailboxes from Nation’s Streets After Public Outrage, as Protesters Paper Louis DeJoy’s Home with Fake Ballots: WATCH","On Friday, after photos circulated on social media stirred outrage (above and beyond the outrage already stirred by news earlier this week that the pro-Trump postmaster general was working to debilitate the institution ahead of the election), the U.S. Postal …",https://www.towleroad.com/2020/08/usps-removing-mailboxes/,https://i0.wp.com/www.towleroad.com/wp-content/uploads/2020/08/mailboxes_maddow.jpg?fit=1200%2C666&ssl=1,2020-08-15T14:32:17Z,"On Friday, after photos circulated on social media stirred outrage (above and beyond the outrage already stirred by news earlier this week that the pro-Trump postmaster general was working to debilit… [+2884 chars]"
8,"{'id': None, 'name': 'TPM'}",Zoë Richards,Romney Pushes Back On Trump Effort To Suppress Mail Voting: ‘We Want People To Vote’,"Sen. Mitt Romney (R-UT) said Friday that he sees mail voting as “more secure” than traditional in-person electronic voting, challenging President Donald Trump’s…",https://talkingpointsmemo.com/news/romney-pushes-back-trump-mail-voting-suppression,https://cdn.talkingpointsmemo.com/wp-content/uploads/2020/03/GettyImages-1189257639-804x536.jpg,2020-08-15T14:31:11Z,"Sen. Mitt Romney (R-UT) said Friday that he sees mail voting as “more secure” than traditional in-person electronic voting, challenging President Donald Trump’s months-long attack on mail voting as f… [+2381 chars]"
9,"{'id': None, 'name': 'Crooksandliars.com'}",RedStateRachel,How To Vote In The 2020 Election,"The USPS is under attack by the Trump administration, using the U.S. Mail as a voter suppression tactic during a pandemic. The 2020 Presidential Election will decide the future of our country, it's time for Americans to vote Trump and his crew OUT. 
Knowing h…",https://crooksandliars.com/2020/08/how-vote-2020-election,https://crooksandliars.com/files/primary_image/20/08/how_to_vote_in_the_2020_election_0.jpg,2020-08-15T14:18:02Z,"The USPS is under attack by the Trump administration, using the U.S. Mail as a voter suppression tactic during a pandemic. The 2020 Presidential Election will decide the future of our country, it's t… [+2210 chars]"
